# hoGAMEGATA Full Verified Horror Tags (15825 tags)
# Format: Tag Name | Slug
# Source: https://gamegata.xyz

Ludum Dare 58 | ludum-dare-58
Ludum Dare 59 | ludum-dare-59
LÖVE | lve
MIDI | midi
MMORPG | mmorpg
MS-DOS | ms-dos
MSX | msx
Magic | magic
Magical Realism | magical-realism
Male protagonist | male-protagonist
Management | management
Managerial | managerial
Manga | manga
Mascot Horror | mascot-horror
Massively multiplayer | massively-multiplayer
Match3 | match-three
Materials | materials
Math | math
Mature | mature
Meaningful Choices | meaningful-choices
Mechs | mechs
Medical Horror | setting-medical
Medieval | medieval
Mega Drive | mega-drive
Melancholic | melancholic
Meme | meme
Mental Health | mental-health
Metroidvania | metroidvania
Military | military
Minecraft | minecraft
Minesweeper | minesweeper
Minimalist | minimalist
Mod | mod
Moddable | moddable
Modeling | modeling
Models | models
Modern | modern
Modular | modular
Monster Girls | monster-girls
Monsters | monsters
Mountains | mountains
Mouse only | mouse-only
Movement Shooter | movement-shooter
Movie | movie
Multiplayer | multiplayer
Multiple Endings | multiple-endings
Music | music
Music Production | music-production
My First Game Jam | my-first-game-jam
Mystery | mystery
Mythology | mythology
MÖRK BORG | mrk-borg
NES (Nintendo Entertainment System) | nes-nintendo-entertainment-system
NES ROM | nes-rom
NSFW | nsfw
Narrative | narrative
Narrative Horror | narrative-horror
Nature | nature
Naval | naval
Neon | neon
Ninja | ninja
Nintendo 64 | nintendo-64
No AI | no-ai
No generative AI was used | no-generative-ai-was-used
Noir | noir
Non Violent | non-violent
Nonlinear | nonlinear
Norse | norse
Nuclear Throne | nuclear-throne
Nuclear Throne Together | nuclear-throne-together
Nudity | nudity
OSR | osr
OST | ost
Oculus Quest | oculus-quest
Oculus Rift | oculus-rift
On-Rails Shooter | on-rails-shooter
One-page | one-page
One-shot | one-shot
Only On GOG | only-on-gog
Open Source | open-source
Open World | open-world
Oppressive | oppressive
Otome | otome
PBR (Physically Based Rendering) | pbr-physically-based-rendering
PICO-8 | pico-8
PNG | png
PROCJAM | procjam
PS1 / Low Poly | retro-ps1
PSX (PlayStation) | psx--playstation-
Painting | painting
Parkour | parkour
Parody | parody
PbtA | pbta
Period Piece | period-piece
Perma Death | perma-death
Perspective | perspective
Petting Dogs | petting-dogs
Philosophical | philosophical
Photorealistic | photorealistic
Physics | physics
Picross | picross
Pinball | pinball
Pirates | pirates
Pixel Art | pixel-art
Pixel Graphics | pixel-graphics
Pizza Tower | pizza-tower
Platformer | platformer
Playdate | playdate
Playstation Portable | playstation-portable
Point & Click | point-click
Point&Click | point-and-click
Politics | politics
Post-apocalyptic | post-apocalyptic
Print & Play | print-play
Procedural Generation | procedural-generation
Project template | project-template
Prototype | prototype
Psychological Horror | psychological
Puzzle | puzzle
Puzzle Horror | puzzle-horror
Puzzle Platformer | puzzle-platformer
PuzzleScript | puzzlescript
PvP | pvp
Queer | queer
Quiz | quiz
RPG Maker | rpg-maker
RPG Maker MV | rpg-maker-mv
RPG Maker MZ | rpg-maker-mz
RTS | rts
Racing | racing
Railroad | railroad
Real time strategy | real-time-strategy
Real-Time | real-time
Realistic | realistic
Relaxing | relaxing
Remake | remake
Ren'Py | ren-py
Resource Management | resource-management
Retro | retro
Rhythm | rhythm
Roadtrip | roadtrip
Robots | robots
Roguelike | roguelike
Roguelite | roguelite
Role Playing | role-playing
Romance | romance
Rotation | rotation
Royalty Free | royalty-free
Runner | runner
Rural Isolation | setting-rural
SFML | sfml
SVG | svg
Sailing | sailing
Sandbox | sandbox
Scary | scary
School Horror | setting-school
Sci-Fi Horror | setting-sci-fi
Sci-fi | sci-fi
Science | science
Score Attack | score-attack
Scratch | scratch
Sega Genesis | sega-genesis
Seven Day Roguelike Challenge | seven-day-roguelike-challenge
Sexual Content | sexual-content
Shaders | shaders
Shadows | shadows
Shoot'EmUp | shoot-em-up
Shooter | shooter
Short | short
Side Scroller | side-scroller
Side view | side-view
Simple | simple
Sims 4 | sims-4
Simulation | simulation
Singleplayer | singleplayer
Siren Head | siren-head
Skating | skating
Skeletons | skeletons
Slasher Horror | slasher
Slice Of Life | slice-of-life
Slime | slime
Slow Burn | slow-burn
Snake | snake
Soccer | soccer
Sokoban | sokoban
Solo RPG | solo-rpg
Souls-like | souls-like
Sound effects | sound-effects
Soundtoy | soundtoy
Space | space
Space Horror | setting-space
Space Sim | space-sim
Speedrun | speedrun
Split Screen | split-screen
Spooky | spooky
Spoopy | spoopy
Sprites | sprites
Sprunki | sprunki
Stealth | stealth
Stealth & Hide | stealth-no-combat
Steampunk | steampunk
Stencyl | stencyl
Story Rich | story-rich
Strategy | strategy
Strategy RPG | strategy-rpg
Streaming | streaming
Stylized Horror | stylized
Suika Game | suika-game
Superhero | superhero
Supernatural Horror | supernatural
Superpowers | superpowers
Supplement | supplement
Surreal | surreal
Survival | survival
