# hoGAMEGATA Full Registered Games Catalog (107809 games)
# Format: Title | Developer | URL
# Source: https://gamegata.xyz

 ceilings | Ion Storm | https://gamegata.xyz/game/ 4096 colors
(Fanmade, Prototype) Whiteday Blood Festival | Inwoo | https://gamegata.xyz/game/itch-fanmade-prototype-whiteday-blood-festival
(Game Jam Version) Heart Of a Ghost | DemonBlooded | https://gamegata.xyz/game/itch-game-jam-version-heart-of-a-ghost
(Game Jam) Haunted Souls - Multiplayer Horror Game | renatoaruffo | https://gamegata.xyz/game/itch-game-jam-haunted-souls-multiplayer-horror-game
(GameBoy ROM) Ghoul Busters Original Soundtrack OST | sungrandstudios | https://gamegata.xyz/game/itch-gameboy-rom-ghoul-busters-original-soundtrack-ost
(I see) Nothing | Painappuru Project | https://gamegata.xyz/game/i-see-nothing
(I see) Nothing/Nasshingu | Painappuru Project | https://gamegata.xyz/game/itch-i-see-nothingnasshingu
(IRIDA) SML MOVIE: HELLSCAPE 32 | SSJGage | https://gamegata.xyz/game/itch-irida-sml-movie-hellscape-32
(IUM) Destroyer | endered-abstraction | https://gamegata.xyz/game/itch-ium-destroyer
(IUM) Destroyer Green | endered-abstraction | https://gamegata.xyz/game/itch-ium-destroyer-green
(In a) Space Jam - Demo Version | happycrows | https://gamegata.xyz/game/itch-in-a-space-jam-demo-version
(InDev) The Nightcrawler REMASTERED | TDRP | https://gamegata.xyz/game/itch-indev-the-nightcrawler-remastered
(Incredibox) Backbox V3 - The dark cave | Lion | https://gamegata.xyz/game/itch-incredibox-backbox-v3-the-dark-cave
(Incredibox) Backbox V5 - Party | Lion | https://gamegata.xyz/game/itch-incredibox-backbox-v5-party
(Incredibox) Backbox V6 - The Final Run | Lion | https://gamegata.xyz/game/itch-incredibox-backbox-v6-the-final-run
(Incredibox) Lionbox V1 - The Multiverse | Lion | https://gamegata.xyz/game/itch-incredibox-lionbox-v1-the-multiverse
(Incredibox) Unknownbox - Behind the Moon | Lion | https://gamegata.xyz/game/itch-incredibox-unknownbox-behind-the-moon
(MOBILE) Rizz of Zak - Chapter 1 | MBM Games | https://gamegata.xyz/game/itch-mobile-rizz-of-zak-chapter-1
(Mario) The Music Box ARC Classic Edition | Team Ari | https://gamegata.xyz/game/itch-mario-the-music-box-arc-classic-edition
(Mario) The Music Box ARC Revamped Edition | Team Ari | https://gamegata.xyz/game/itch-mario-the-music-box-arc-revamped-edition
(Mario) The Music Box Classic Edition | Team Ari | https://gamegata.xyz/game/itch-mario-the-music-box-classic-edition
(Mario) The Music Box Remastered Edition | Team Ari | https://gamegata.xyz/game/itch-mario-the-music-box-remastered-edition
